,Media Outlet,Positive Score,Tweet Text,Compound Score,Negative Score,Neutral Score,Date
24,@BBC,0.162,🎧 @BBCR1's @ClaraAmfo gives aspiring DJs advice and tells us about who inspires her this #InternationalWomensDay.… https://t.co/FvBtbQ9cs1,0.4404,0.0,0.838,Thu Mar 08 08:30:00 +0000 2018
25,@BBC,0.0,"💪 A brief history of #feminism. 

#InternationalWomensDay #IWD2018 https://t.co/EGm8W4OKJ2",0.0,0.0,1.0,Thu Mar 08 08:00:05 +0000 2018
26,@BBC,0.0,"For more than a century people around the world have been marking #InternationalWomensDay. Here's why.
👉… https://t.co/rkKYo23Qfo",0.0,0.0,1.0,Thu Mar 08 07:30:06 +0000 2018
27,@BBC,0.0,"'Harry was looking at his family for the first time in his life'. 

💛⚡️✨ David Thewlis reading #HarryPotter is trul… https://t.co/wAyCDFvrX2",0.0,0.0,1.0,Wed Mar 07 19:12:02 +0000 2018
28,@BBC,0.0,"✂️ ‘My hair is a symbol of pride.’

💇🏽💇🏿💇🏾 Six stories about black women's hair.
👉 https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",0.0,0.0,1.0,Wed Mar 07 18:23:04 +0000 2018
29,@BBC,0.264,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,0.4987,0.0,0.736,Wed Mar 07 17:42:01 +0000 2018
30,@BBC,0.0,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",0.0,0.0,1.0,Wed Mar 07 17:27:29 +0000 2018
31,@BBC,0.0,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",0.0,0.0,1.0,Wed Mar 07 17:22:51 +0000 2018
32,@BBC,0.37,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,0.8555,0.0,0.63,Wed Mar 07 17:22:23 +0000 2018
33,@BBC,0.0,RT @bbceurovision: A storm is coming.@surieofficial  ⛈ 👉 https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,0.0,0.0,1.0,Wed Mar 07 17:16:45 +0000 2018
34,@BBC,0.183,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? 🤔 #BackInTimeForTea https://t.co/l0R6nHrTj1,0.5562,0.0,0.817,Wed Mar 07 17:14:49 +0000 2018
35,@BBC,0.0,"📖 Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",0.0,0.0,1.0,Wed Mar 07 17:13:49 +0000 2018
36,@BBC,0.0,RT @bbccomedy: WOOF! ❤️#RikMayallDay https://t.co/ioJtvYVFRO,0.0,0.0,1.0,Wed Mar 07 16:15:06 +0000 2018
37,@BBC,0.0,😱 The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,0.0,0.0,1.0,Wed Mar 07 14:30:03 +0000 2018
38,@BBC,0.14,"#InternationalWomensDay is tomorrow, so there's no better time to test how much you know about female suffrage.
👉… https://t.co/6ulqfr8zyL",0.1742,0.109,0.751,Wed Mar 07 13:24:05 +0000 2018
39,@BBC,0.082,🚂💀 All aboard London's Victorian railway for the dead. https://t.co/L7vJO4ybeD,-0.6369,0.321,0.597,Wed Mar 07 12:30:04 +0000 2018
40,@BBC,0.0,"😍 The first polar bear cub to be born in the UK for 25 years has emerged at the @RZSS's @HighlandWPark!
👉… https://t.co/4fhzBaxwjF",0.0,0.0,1.0,Wed Mar 07 11:42:44 +0000 2018
41,@BBC,0.0,"RT @bbccomedy: Today would have been the 60th birthday of the legend, the genius, the king Rik Mayall. We miss you, sir! #RikMayallDay http…",-0.2244,0.076,0.924,Wed Mar 07 11:07:18 +0000 2018
42,@BBC,0.0,The wreck of a US aircraft carrier that was sunk during WW2 has been found off the coast of Australia. https://t.co/8NQfRdFXTE,-0.4404,0.132,0.868,Wed Mar 07 10:46:56 +0000 2018
43,@BBC,0.225,RT @BBCFOUR: There's a very good reason this extreme firework was banned... https://t.co/pdfpcDiJ4h,0.4927,0.0,0.775,Wed Mar 07 10:41:15 +0000 2018
44,@BBC,0.211,"RT @CBeebiesHQ: 3 out of 4 parents wouldn’t be able to save their baby from choking. 

Learn how to help in a first aid emergency…https://t…",0.4404,0.108,0.681,Wed Mar 07 09:58:38 +0000 2018
45,@BBC,0.0,A moving story of how one woman transformed Alzheimer’s research forever. ❤️https://t.co/2fwJDbWT8x,0.0,0.0,1.0,Wed Mar 07 09:00:07 +0000 2018
46,@BBC,0.175,RT @BBCOne: They've smashed the record for the highest profit EVER on Antiques Road Trip! 😲 https://t.co/TNuRcp2EOq,0.4926,0.0,0.825,Wed Mar 07 08:46:22 +0000 2018
47,@BBC,0.109,"RT @bbc5live: What happens to your old paint?

A scheme in Leeds to recycle unused paint has saved hundreds of tons of leftovers from endin…",0.4215,0.0,0.891,Wed Mar 07 08:46:14 +0000 2018
48,@BBC,0.0,"RT @BBCTwo: When this father and daughter paddled into the sea, they had no idea how much danger they were in... #SavingLivesAtSea https://…",-0.6808,0.211,0.789,Wed Mar 07 08:45:50 +0000 2018
49,@BBC,0.123,"RT @cbbc: There are over 128,000 children in the UK without a home.

Watch CBBC's powerful documentary about homeless children on @BBCiPlay…",0.4215,0.0,0.877,Wed Mar 07 08:44:59 +0000 2018
50,@BBC,0.0,"Dirty water kills millions every year. 

But one ingenious invention can remove dangerous microbes as they flow tow… https://t.co/isjxUnr3Dp",-0.8591,0.373,0.627,Wed Mar 07 08:30:07 +0000 2018
51,@BBC,0.231,"La Dame de Brassempouy is a beautiful 25,000 year-old representation of a female face. 
#Civilisations https://t.co/aKGUlvJFGF",0.5994,0.0,0.769,Wed Mar 07 08:00:04 +0000 2018
52,@BBC,0.0,"😂🙊 Who has a filthier mouth, Jennifer Lawrence or James McAvoy? https://t.co/lOfGcHVo6R",0.0,0.0,1.0,Tue Mar 06 19:30:06 +0000 2018
53,@BBC,0.0,"A diver swims through a thick soup of plastic waste near Bali.
https://t.co/W8GJNKq8rm",-0.4215,0.219,0.781,Tue Mar 06 18:30:07 +0000 2018
54,@BBC,0.127,"Every day around the UK, an army of unpaid volunteers put their lives on the line to try and save complete stranger… https://t.co/W3Fel1iPSK",0.4939,0.0,0.873,Tue Mar 06 18:03:04 +0000 2018
55,@BBC,0.165,"Impressive and terrifying in equal measure. 

This woman doesn't just sleepwalk... she sleep-drives too. https://t.co/Ovwb4dNaYJ",-0.1027,0.185,0.65,Tue Mar 06 17:30:07 +0000 2018
56,@BBC,0.0,RT @bbcwritersroom: New #Brexit #comedy Soft Border Patrol is set on the border between #NorthernIreland and the Republic of #Ireland. We p…,0.0,0.0,1.0,Tue Mar 06 17:25:44 +0000 2018
57,@BBC,0.119,🐧 Scientists have stumbled across a huge group of previously unknown Adélie penguins on the most northerly point of… https://t.co/3GQ8PlQyMY,0.3182,0.0,0.881,Tue Mar 06 17:02:04 +0000 2018
58,@BBC,0.068,"Too many Lego bricks is a problem many parents will sympathise with, but now the toy firm itself has admitted it ha… https://t.co/4J0whItWAN",-0.0644,0.079,0.853,Tue Mar 06 15:30:10 +0000 2018
59,@BBC,0.308,RT @bbccomedy: Nothing says welcome to the neighbourhood quite like everyone's favourite busybody 😂#TwoDoorsDown https://t.co/dClRm13dm9,0.6997,0.0,0.692,Tue Mar 06 14:44:33 +0000 2018
60,@BBC,0.336,"🍻 Cheers to that! 

Pubs will be allowed to stay open later than usual to give everyone a chance to celebrate Princ… https://t.co/K7toUnOwSG",0.8439,0.0,0.664,Tue Mar 06 14:30:05 +0000 2018
61,@BBC,0.276,"Tickets, food wrappers and posters provide a fascinating insight into the creativity of North Korea, and the image… https://t.co/oe4tZwlBJw",0.7269,0.0,0.724,Tue Mar 06 13:48:06 +0000 2018
62,@BBC,0.293,"RT @bbcthree: No you can't cure depression with meditation, kale or by simply cheering up. https://t.co/gsM8lRX6N2",0.6246,0.102,0.605,Tue Mar 06 13:12:33 +0000 2018
63,@BBC,0.0,RT @BBCScotlandNews: A giant three-dimensional concrete map of Scotland is to be officially unveiled next month in the Borders https://t.co…,0.0,0.0,1.0,Tue Mar 06 13:11:26 +0000 2018
64,@BBC,0.132,"👟♻️ British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",0.4404,0.0,0.868,Tue Mar 06 13:10:12 +0000 2018
65,@BBC,0.187,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,0.5994,0.0,0.813,Tue Mar 06 12:30:05 +0000 2018
